,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,118.67101909165213
1,1,2,0,120,126.01305727495637
2,2,3,0,180,122.02611454991275
3,3,4,0,240,106.71019091652124
4,4,1,2,60,122.38121000817337
5,5,2,1,120,108.72324819147761
6,6,0,2,0,114.72324819147761
7,7,0,2,0,114.72324819147761
8,8,0,1,0,108.72324819147761
9,9,0,1,0,108.72324819147761
10,10,0,1,0,108.72324819147761
11,11,0,1,0,108.72324819147761
12,12,0,1,0,108.72324819147761
13,13,1,1,60,112.39426728312974
14,14,1,1,60,116.06528637478186
15,15,0,1,0,116.06528637478186
16,16,2,0,120,102.40732455808612
17,17,1,1,60,112.07834364973823
18,18,0,2,0,118.07834364973823
19,19,1,1,60,115.74936274139036
20,20,2,0,120,102.09140092469461
21,21,0,2,0,114.09140092469461
22,22,1,1,60,111.76242001634674
23,23,1,1,60,115.43343910799885
24,24,0,1,0,115.43343910799885
25,25,2,0,120,101.7754772913031
26,26,1,1,60,111.44649638295523
27,27,0,2,0,117.44649638295523
28,28,1,1,60,115.11751547460736
29,29,2,0,120,101.4595536579116
30,30,0,2,0,113.4595536579116
31,31,1,1,60,111.13057274956373
32,32,1,1,60,114.80159184121585
33,33,0,1,0,114.80159184121585
34,34,2,0,120,101.1436300245201
35,35,1,1,60,110.81464911617223
36,36,0,2,0,116.81464911617223
37,37,1,1,60,114.48566820782436
38,38,2,0,120,100.82770639112861
39,39,0,2,0,112.82770639112861
40,40,1,1,60,110.49872548278074
41,41,1,1,60,114.16974457443285
42,42,0,1,0,114.16974457443285
43,43,2,0,120,100.51178275773711
44,44,1,1,60,110.18280184938924
45,45,0,2,0,116.18280184938924
46,46,1,1,60,113.85382094104136
47,47,2,0,120,100.19585912434562
48,48,0,2,0,112.19585912434562
49,49,1,1,60,109.86687821599774
50,50,1,1,60,113.53789730764987
51,51,0,1,0,113.53789730764987
52,52,1,1,60,117.20891639930198
53,53,2,0,120,103.55095458260624
54,54,0,2,0,115.55095458260624
55,55,1,1,60,113.22197367425836
56,56,1,1,60,116.89299276591049
57,57,0,1,0,116.89299276591049
58,58,2,0,120,103.23503094921473
59,59,1,1,60,112.90605004086686
60,60,0,2,0,118.90605004086686
61,61,1,1,60,116.57706913251899
62,62,2,0,120,102.91910731582323
63,63,0,2,0,114.91910731582323
64,64,1,1,60,112.59012640747535
65,65,1,1,60,116.26114549912748
66,66,0,1,0,116.26114549912748
67,67,2,0,120,102.60318368243173
68,68,1,1,60,112.27420277408385
69,69,0,2,0,118.27420277408385
70,70,1,1,60,115.94522186573597
71,71,2,0,120,102.28726004904023
72,72,0,2,0,114.28726004904023
73,73,1,1,60,111.95827914069235
74,74,1,1,60,115.62929823234447
75,75,0,1,0,115.62929823234447
76,76,2,0,120,101.97133641564872
77,77,1,1,60,111.64235550730085
78,78,0,2,0,117.64235550730085
79,79,1,1,60,115.31337459895298
80,80,2,0,120,101.65541278225722
81,81,0,2,0,113.65541278225722
82,82,1,1,60,111.32643187390934
83,83,1,1,60,114.99745096556147
84,84,0,1,0,114.99745096556147
85,85,2,0,120,101.33948914886572
86,86,1,1,60,111.01050824051785
87,87,0,2,0,117.01050824051785
88,88,1,1,60,114.68152733216996
89,89,2,0,120,101.02356551547422
90,90,0,2,0,113.02356551547422
91,91,1,1,60,110.69458460712634
92,92,1,1,60,114.36560369877847
93,93,0,1,0,114.36560369877847
94,94,2,0,120,100.70764188208273
95,95,1,1,60,110.37866097373485
96,96,0,2,0,116.37866097373485
97,97,1,1,60,114.04968006538698
98,98,2,0,120,100.39171824869122
99,99,0,2,0,112.39171824869122
