,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.50117275867404
1,1,2,0,120,128.50351827602213
2,2,3,0,180,127.00703655204427
3,3,4,0,240,115.01172758674045
4,4,2,2,120,121.01407310408855
5,5,2,1,120,109.01641862143664
6,6,0,2,0,115.01641862143664
7,7,1,1,60,113.51759138011069
8,8,2,1,120,107.51993689745879
9,9,0,2,0,113.51993689745879
10,10,1,1,60,112.02110965613284
11,11,2,0,120,100.02345517348093
12,12,0,2,0,112.02345517348093
13,13,1,1,60,110.52462793215498
14,14,1,1,60,115.02580069082903
15,15,0,1,0,115.02580069082903
16,16,0,1,0,115.02580069082903
17,17,0,1,0,115.02580069082903
18,18,0,1,0,115.02580069082903
19,19,0,1,0,115.02580069082903
20,20,0,1,0,115.02580069082903
21,21,0,1,0,115.02580069082903
22,22,0,1,0,115.02580069082903
23,23,0,1,0,115.02580069082903
24,24,0,1,0,115.02580069082903
25,25,0,1,0,115.02580069082903
26,26,0,1,0,115.02580069082903
27,27,0,1,0,115.02580069082903
28,28,0,1,0,115.02580069082903
29,29,0,1,0,115.02580069082903
30,30,0,1,0,115.02580069082903
31,31,0,1,0,115.02580069082903
32,32,0,1,0,115.02580069082903
33,33,0,1,0,115.02580069082903
34,34,0,1,0,115.02580069082903
35,35,0,1,0,115.02580069082903
36,36,0,1,0,115.02580069082903
37,37,0,1,0,115.02580069082903
38,38,0,1,0,115.02580069082903
39,39,0,1,0,115.02580069082903
40,40,0,1,0,115.02580069082903
41,41,0,1,0,115.02580069082903
42,42,0,1,0,115.02580069082903
43,43,0,1,0,115.02580069082903
44,44,0,1,0,115.02580069082903
45,45,0,1,0,115.02580069082903
46,46,0,1,0,115.02580069082903
47,47,0,1,0,115.02580069082903
48,48,0,1,0,115.02580069082903
49,49,0,1,0,115.02580069082903
50,50,0,1,0,115.02580069082903
51,51,0,1,0,115.02580069082903
52,52,0,1,0,115.02580069082903
53,53,0,1,0,115.02580069082903
54,54,0,1,0,115.02580069082903
55,55,0,1,0,115.02580069082903
56,56,0,1,0,115.02580069082903
57,57,0,1,0,115.02580069082903
58,58,0,1,0,115.02580069082903
59,59,0,1,0,115.02580069082903
60,60,0,1,0,115.02580069082903
61,61,0,1,0,115.02580069082903
62,62,0,1,0,115.02580069082903
63,63,0,1,0,115.02580069082903
64,64,0,1,0,115.02580069082903
65,65,0,1,0,115.02580069082903
66,66,0,1,0,115.02580069082903
67,67,0,1,0,115.02580069082903
68,68,0,1,0,115.02580069082903
69,69,0,1,0,115.02580069082903
70,70,0,1,0,115.02580069082903
71,71,0,1,0,115.02580069082903
72,72,0,1,0,115.02580069082903
73,73,0,1,0,115.02580069082903
74,74,0,1,0,115.02580069082903
75,75,0,1,0,115.02580069082903
76,76,0,1,0,115.02580069082903
77,77,0,1,0,115.02580069082903
78,78,0,1,0,115.02580069082903
79,79,0,1,0,115.02580069082903
80,80,0,1,0,115.02580069082903
81,81,0,1,0,115.02580069082903
82,82,0,1,0,115.02580069082903
83,83,0,1,0,115.02580069082903
84,84,0,1,0,115.02580069082903
85,85,0,1,0,115.02580069082903
86,86,0,1,0,115.02580069082903
87,87,0,1,0,115.02580069082903
88,88,0,1,0,115.02580069082903
89,89,0,1,0,115.02580069082903
90,90,0,1,0,115.02580069082903
91,91,0,1,0,115.02580069082903
92,92,0,1,0,115.02580069082903
93,93,0,1,0,115.02580069082903
94,94,0,1,0,115.02580069082903
95,95,0,1,0,115.02580069082903
96,96,0,1,0,115.02580069082903
97,97,0,1,0,115.02580069082903
98,98,0,1,0,115.02580069082903
99,99,0,1,0,115.02580069082903
