,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,120.0
1,1,2,0,120,100.0
2,2,3,0,180,100.0
3,3,3,1,180,106.0
4,4,3,1,180,106.0
5,5,1,2,60,117.0
6,6,0,2,0,117.0
7,7,2,0,120,100.0
8,8,1,1,60,111.0
9,9,0,2,0,117.0
10,10,0,1,0,111.0
11,11,0,1,0,111.0
12,12,0,1,0,111.0
13,13,0,1,0,111.0
14,14,0,1,0,111.0
15,15,0,1,0,111.0
16,16,0,1,0,111.0
17,17,0,1,0,111.0
18,18,0,1,0,111.0
19,19,0,1,0,111.0
20,20,0,1,0,111.0
21,21,0,1,0,111.0
22,22,0,1,0,111.0
23,23,0,1,0,111.0
24,24,0,1,0,111.0
25,25,0,1,0,111.0
26,26,0,1,0,111.0
27,27,0,1,0,111.0
28,28,0,1,0,111.0
29,29,0,1,0,111.0
30,30,0,1,0,111.0
31,31,0,1,0,111.0
32,32,0,1,0,111.0
33,33,0,1,0,111.0
34,34,0,1,0,111.0
35,35,0,1,0,111.0
36,36,0,1,0,111.0
37,37,0,1,0,111.0
38,38,0,1,0,111.0
39,39,0,1,0,111.0
40,40,0,1,0,111.0
41,41,0,1,0,111.0
42,42,0,1,0,111.0
43,43,0,1,0,111.0
44,44,0,1,0,111.0
45,45,0,1,0,111.0
46,46,0,1,0,111.0
47,47,0,1,0,111.0
48,48,0,1,0,111.0
49,49,0,1,0,111.0
50,50,0,1,0,111.0
51,51,0,1,0,111.0
52,52,0,1,0,111.0
53,53,0,1,0,111.0
54,54,0,1,0,111.0
55,55,0,1,0,111.0
56,56,0,1,0,111.0
57,57,0,1,0,111.0
58,58,0,1,0,111.0
59,59,0,1,0,111.0
60,60,0,1,0,111.0
61,61,0,1,0,111.0
62,62,0,1,0,111.0
63,63,0,1,0,111.0
64,64,0,1,0,111.0
65,65,0,1,0,111.0
66,66,0,1,0,111.0
67,67,0,1,0,111.0
68,68,0,1,0,111.0
69,69,0,1,0,111.0
70,70,0,1,0,111.0
71,71,0,1,0,111.0
72,72,0,1,0,111.0
73,73,0,1,0,111.0
74,74,0,1,0,111.0
75,75,0,1,0,111.0
76,76,0,1,0,111.0
77,77,0,1,0,111.0
78,78,0,1,0,111.0
79,79,0,1,0,111.0
80,80,0,1,0,111.0
81,81,0,1,0,111.0
82,82,0,1,0,111.0
83,83,0,1,0,111.0
84,84,0,1,0,111.0
85,85,0,1,0,111.0
86,86,0,1,0,111.0
87,87,0,1,0,111.0
88,88,0,1,0,111.0
89,89,0,1,0,111.0
90,90,0,1,0,111.0
91,91,0,1,0,111.0
92,92,0,1,0,111.0
93,93,0,1,0,111.0
94,94,0,1,0,111.0
95,95,0,1,0,111.0
96,96,0,1,0,111.0
97,97,0,1,0,111.0
98,98,0,1,0,111.0
99,99,0,1,0,111.0
