,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,80,139.83182913777048
1,1,4,0,160,149.66365827554097
2,2,6,0,240,129.49548741331142
3,3,6,1,240,113.3273165510819
4,4,5,2,200,112.15914568885239
5,5,4,3,160,125.99097482662287
6,6,5,2,200,116.82280396439334
7,7,5,2,200,111.65463310216383
8,8,4,2,160,121.4864622399343
9,9,5,2,200,116.31829137770478
10,10,5,2,200,111.15012051547527
11,11,4,2,160,120.98194965324574
12,12,5,2,200,115.81377879101622
13,13,5,2,200,110.64560792878669
14,14,4,2,160,120.47743706655717
15,15,5,2,200,115.30926620432764
16,16,5,2,200,110.14109534209813
17,17,4,2,160,119.9729244798686
18,18,5,2,200,114.80475361763908
19,19,5,2,200,109.63658275540955
20,20,4,2,160,119.46841189318003
21,21,5,2,200,114.3002410309505
22,22,5,2,200,109.13207016872099
23,23,4,2,160,118.96389930649146
24,24,5,2,200,113.79572844426194
25,25,5,2,200,108.62755758203241
26,26,4,2,160,118.4593867198029
27,27,5,2,200,113.29121585757336
28,28,5,2,200,108.12304499534383
29,29,4,2,160,117.95487413311432
30,30,5,2,200,112.78670327088479
31,31,4,2,160,122.61853240865527
32,32,5,2,200,117.45036154642574
33,33,5,2,200,112.28219068419622
34,34,4,2,160,122.1140198219667
35,35,5,2,200,116.94584895973718
36,36,5,2,200,111.77767809750766
37,37,4,2,160,121.60950723527813
38,38,5,2,200,116.44133637304861
39,39,5,2,200,111.2731655108191
40,40,4,2,160,121.10499464858957
41,41,5,2,200,115.93682378636005
42,42,5,2,200,110.76865292413052
43,43,4,2,160,120.600482061901
44,44,5,2,200,115.43231119967147
45,45,5,2,200,110.26414033744196
46,46,4,2,160,120.09596947521243
47,47,5,2,200,114.92779861298291
48,48,5,2,200,109.75962775075338
49,49,4,2,160,119.59145688852387
50,50,5,2,200,114.42328602629433
51,51,5,2,200,109.25511516406482
52,52,4,2,160,119.08694430183529
53,53,5,2,200,113.91877343960577
54,54,5,2,200,108.75060257737624
55,55,4,2,160,118.58243171514673
56,56,5,2,200,113.4142608529172
57,57,5,2,200,108.24608999068766
58,58,4,2,160,118.07791912845815
59,59,5,2,200,112.90974826622862
60,60,4,2,160,122.7415774039991
61,61,5,2,200,117.57340654176957
62,62,5,2,200,112.40523567954006
63,63,4,2,160,122.23706481731054
64,64,5,2,200,117.06889395508101
65,65,5,2,200,111.90072309285149
66,66,4,2,160,121.73255223062196
67,67,5,2,200,116.56438136839245
68,68,5,2,200,111.39621050616293
69,69,4,2,160,121.2280396439334
70,70,5,2,200,116.05986878170388
71,71,5,2,200,110.89169791947435
72,72,4,2,160,120.72352705724484
73,73,5,2,200,115.5553561950153
74,74,5,2,200,110.38718533278579
75,75,4,2,160,120.21901447055626
76,76,5,2,200,115.05084360832674
77,77,5,2,200,109.88267274609721
78,78,4,2,160,119.7145018838677
79,79,5,2,200,114.54633102163817
80,80,5,2,200,109.37816015940865
81,81,4,2,160,119.20998929717912
82,82,5,2,200,114.0418184349496
83,83,5,2,200,108.87364757272007
84,84,4,2,160,118.70547671049056
85,85,5,2,200,113.53730584826103
86,86,5,2,200,108.3691349860315
87,87,4,2,160,118.20096412380198
88,88,5,2,200,113.03279326157245
89,89,4,2,160,122.86462239934293
90,90,5,2,200,117.6964515371134
91,91,5,2,200,112.52828067488389
92,92,4,2,160,122.36010981265437
93,93,5,2,200,117.19193895042484
94,94,5,2,200,112.02376808819533
95,95,4,2,160,121.8555972259658
96,96,5,2,200,116.68742636373628
97,97,5,2,200,111.51925550150676
98,98,4,2,160,121.35108463927723
99,99,5,2,200,116.18291377704772
