,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,100,130.0
1,1,4,0,200,130.0
2,2,6,0,300,100.0
3,3,6,1,300,105.0
4,4,6,2,300,110.0
5,5,6,2,300,110.0
6,6,6,2,300,110.0
7,7,4,3,200,115.0
8,8,4,2,200,110.0
9,9,4,2,200,110.0
10,10,4,2,200,110.0
11,11,4,2,200,110.0
12,12,6,1,300,105.0
13,13,6,2,300,110.0
14,14,4,3,200,115.0
15,15,6,1,300,105.0
16,16,6,2,300,110.0
17,17,6,2,300,110.0
18,18,4,3,200,115.0
19,19,6,1,300,105.0
20,20,6,2,300,110.0
21,21,6,2,300,110.0
22,22,4,3,200,115.0
23,23,6,1,300,105.0
24,24,6,2,300,110.0
25,25,4,3,200,115.0
26,26,6,1,300,105.0
27,27,6,2,300,110.0
28,28,6,2,300,110.0
29,29,4,3,200,115.0
30,30,6,1,300,105.0
31,31,6,2,300,110.0
32,32,6,2,300,110.0
33,33,4,3,200,115.0
34,34,6,1,300,105.0
35,35,6,2,300,110.0
36,36,4,3,200,115.0
37,37,6,1,300,105.0
38,38,6,2,300,110.0
39,39,6,2,300,110.0
40,40,4,3,200,115.0
41,41,6,1,300,105.0
42,42,6,2,300,110.0
43,43,6,2,300,110.0
44,44,4,3,200,115.0
45,45,6,1,300,105.0
46,46,6,2,300,110.0
47,47,4,3,200,115.0
48,48,6,1,300,105.0
49,49,6,2,300,110.0
50,50,6,2,300,110.0
51,51,4,3,200,115.0
52,52,6,1,300,105.0
53,53,6,2,300,110.0
54,54,6,2,300,110.0
55,55,4,3,200,115.0
56,56,6,1,300,105.0
57,57,6,2,300,110.0
58,58,4,3,200,115.0
59,59,6,1,300,105.0
60,60,6,2,300,110.0
61,61,6,2,300,110.0
62,62,4,3,200,115.0
63,63,6,1,300,105.0
64,64,6,2,300,110.0
65,65,6,2,300,110.0
66,66,4,3,200,115.0
67,67,6,1,300,105.0
68,68,6,2,300,110.0
69,69,4,3,200,115.0
70,70,6,1,300,105.0
71,71,6,2,300,110.0
72,72,6,2,300,110.0
73,73,4,3,200,115.0
74,74,6,1,300,105.0
75,75,6,2,300,110.0
76,76,6,2,300,110.0
77,77,4,3,200,115.0
78,78,6,1,300,105.0
79,79,6,2,300,110.0
80,80,4,3,200,115.0
81,81,6,1,300,105.0
82,82,6,2,300,110.0
83,83,6,2,300,110.0
84,84,4,3,200,115.0
85,85,6,1,300,105.0
86,86,6,2,300,110.0
87,87,6,2,300,110.0
88,88,4,3,200,115.0
89,89,6,1,300,105.0
90,90,6,2,300,110.0
91,91,4,3,200,115.0
92,92,6,1,300,105.0
93,93,6,2,300,110.0
94,94,6,2,300,110.0
95,95,4,3,200,115.0
96,96,6,1,300,105.0
97,97,6,2,300,110.0
98,98,6,2,300,110.0
99,99,4,3,200,115.0
