,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,118.67101909165213
1,1,2,0,120,126.01305727495637
2,2,3,0,180,122.02611454991275
3,3,4,0,240,106.71019091652124
4,4,0,3,0,124.71019091652124
5,5,3,0,180,102.72324819147761
6,6,0,2,0,114.72324819147761
7,7,0,2,0,114.72324819147761
8,8,2,0,120,110.06528637478186
9,9,0,2,0,122.06528637478186
10,10,0,1,0,116.06528637478186
11,11,2,0,120,117.40732455808612
12,12,1,1,60,112.07834364973823
13,13,0,2,0,118.07834364973823
14,14,2,0,120,113.42038183304248
15,15,1,1,60,108.09140092469461
16,16,0,2,0,114.09140092469461
17,17,2,0,120,109.43343910799885
18,18,0,2,0,121.43343910799885
19,19,0,1,0,115.43343910799885
20,20,2,0,120,116.7754772913031
21,21,1,1,60,111.44649638295523
22,22,0,2,0,117.44649638295523
23,23,2,0,120,112.78853456625947
24,24,1,1,60,107.4595536579116
25,25,0,2,0,113.4595536579116
26,26,2,0,120,108.80159184121585
27,27,0,2,0,120.80159184121585
28,28,0,1,0,114.80159184121585
29,29,2,0,120,116.14363002452009
30,30,1,1,60,110.81464911617222
31,31,0,2,0,116.81464911617222
32,32,2,0,120,112.15668729947647
33,33,1,1,60,106.8277063911286
34,34,0,2,0,112.8277063911286
35,35,2,0,120,108.16974457443284
36,36,0,2,0,120.16974457443284
37,37,0,1,0,114.16974457443284
38,38,2,0,120,115.5117827577371
39,39,1,1,60,110.18280184938922
40,40,0,2,0,116.18280184938922
41,41,2,0,120,111.52484003269346
42,42,1,1,60,106.19585912434559
43,43,0,2,0,112.19585912434559
44,44,2,0,120,107.53789730764984
45,45,0,2,0,119.53789730764984
46,46,0,1,0,113.53789730764984
47,47,2,0,120,114.87993549095408
48,48,1,1,60,109.55095458260621
49,49,0,2,0,115.55095458260621
50,50,2,0,120,110.89299276591046
51,51,0,2,0,122.89299276591046
52,52,0,1,0,116.89299276591046
53,53,2,0,120,118.2350309492147
54,54,1,1,60,112.90605004086683
55,55,0,2,0,118.90605004086683
56,56,2,0,120,114.24808822417108
57,57,1,1,60,108.9191073158232
58,58,0,2,0,114.9191073158232
59,59,2,0,120,110.26114549912745
60,60,0,2,0,122.26114549912745
61,61,0,1,0,116.26114549912745
62,62,2,0,120,117.6031836824317
63,63,1,1,60,112.27420277408382
64,64,0,2,0,118.27420277408382
65,65,2,0,120,113.61624095738807
66,66,1,1,60,108.2872600490402
67,67,0,2,0,114.2872600490402
68,68,2,0,120,109.62929823234444
69,69,0,2,0,121.62929823234444
70,70,0,1,0,115.62929823234444
71,71,2,0,120,116.9713364156487
72,72,1,1,60,111.64235550730082
73,73,0,2,0,117.64235550730082
74,74,2,0,120,112.98439369060506
75,75,1,1,60,107.65541278225719
76,76,0,2,0,113.65541278225719
77,77,2,0,120,108.99745096556144
78,78,0,2,0,120.99745096556144
79,79,0,1,0,114.99745096556144
80,80,2,0,120,116.33948914886568
81,81,1,1,60,111.01050824051781
82,82,0,2,0,117.01050824051781
83,83,2,0,120,112.35254642382206
84,84,1,1,60,107.02356551547419
85,85,0,2,0,113.02356551547419
86,86,2,0,120,108.36560369877843
87,87,0,2,0,120.36560369877843
88,88,0,1,0,114.36560369877843
89,89,2,0,120,115.70764188208268
90,90,1,1,60,110.37866097373481
91,91,0,2,0,116.37866097373481
92,92,2,0,120,111.72069915703905
93,93,1,1,60,106.39171824869118
94,94,0,2,0,112.39171824869118
95,95,2,0,120,107.73375643199543
96,96,0,2,0,119.73375643199543
97,97,0,1,0,113.73375643199543
98,98,2,0,120,115.07579461529967
99,99,1,1,60,109.7468137069518
