,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.82518097559908
1,1,2,0,120,129.47554292679726
2,2,3,0,180,128.95108585359452
3,3,4,0,240,118.25180975599085
4,4,1,2,60,120.07699073158993
5,5,0,2,0,120.07699073158993
6,6,3,0,180,107.55253365838719
7,7,0,2,0,119.55253365838719
8,8,0,2,0,119.55253365838719
9,9,2,0,120,117.20289560958535
10,10,1,1,60,113.02807658518444
11,11,0,2,0,119.02807658518444
12,12,2,0,120,116.67843853638261
13,13,1,1,60,112.5036195119817
14,14,0,2,0,118.5036195119817
15,15,2,0,120,116.15398146317986
16,16,1,1,60,111.97916243877896
17,17,0,2,0,117.97916243877896
18,18,2,0,120,115.62952438997712
19,19,1,1,60,111.4547053655762
20,20,0,2,0,117.4547053655762
21,21,2,0,120,115.10506731677438
22,22,1,1,60,110.93024829237346
23,23,0,2,0,116.93024829237346
24,24,2,0,120,114.58061024357163
25,25,1,1,60,110.40579121917071
26,26,0,2,0,116.40579121917071
27,27,2,0,120,114.05615317036889
28,28,1,1,60,109.88133414596797
29,29,0,2,0,115.88133414596797
30,30,2,0,120,113.53169609716613
31,31,1,1,60,109.35687707276523
32,32,0,2,0,115.35687707276523
33,33,2,0,120,113.0072390239634
34,34,1,1,60,108.83241999956248
35,35,0,2,0,114.83241999956248
36,36,2,0,120,112.48278195076065
37,37,1,1,60,108.30796292635974
38,38,0,2,0,114.30796292635974
39,39,2,0,120,111.9583248775579
40,40,1,1,60,107.78350585315698
41,41,0,2,0,113.78350585315698
42,42,2,0,120,111.43386780435516
43,43,1,1,60,107.25904877995424
44,44,0,2,0,113.25904877995424
45,45,2,0,120,110.9094107311524
46,46,1,1,60,106.7345917067515
47,47,0,2,0,112.7345917067515
48,48,2,0,120,110.38495365794967
49,49,1,1,60,106.21013463354875
50,50,0,2,0,112.21013463354875
51,51,2,0,120,109.86049658474693
52,52,0,2,0,121.86049658474693
53,53,0,1,0,115.86049658474693
54,54,2,0,120,119.51085853594509
55,55,1,1,60,115.33603951154417
56,56,0,2,0,121.33603951154417
57,57,2,0,120,118.98640146274235
58,58,1,1,60,114.81158243834143
59,59,0,2,0,120.81158243834143
60,60,0,1,0,114.81158243834143
61,61,2,0,120,118.4619443895396
62,62,1,1,60,114.28712536513868
63,63,0,2,0,120.28712536513868
64,64,2,0,120,117.93748731633686
65,65,1,1,60,113.76266829193594
66,66,0,2,0,119.76266829193594
67,67,2,0,120,117.4130302431341
68,68,1,1,60,113.2382112187332
69,69,0,2,0,119.2382112187332
70,70,2,0,120,116.88857316993136
71,71,1,1,60,112.71375414553044
72,72,0,2,0,118.71375414553044
73,73,2,0,120,116.36411609672862
74,74,1,1,60,112.1892970723277
75,75,0,2,0,118.1892970723277
76,76,2,0,120,115.83965902352587
77,77,1,1,60,111.66483999912495
78,78,0,2,0,117.66483999912495
79,79,2,0,120,115.31520195032313
80,80,1,1,60,111.14038292592221
81,81,0,2,0,117.14038292592221
82,82,2,0,120,114.79074487712037
83,83,1,1,60,110.61592585271947
84,84,0,2,0,116.61592585271947
85,85,2,0,120,114.26628780391763
86,86,1,1,60,110.09146877951672
87,87,0,2,0,116.09146877951672
88,88,2,0,120,113.7418307307149
89,89,1,1,60,109.56701170631398
90,90,0,2,0,115.56701170631398
91,91,2,0,120,113.21737365751214
92,92,1,1,60,109.04255463311122
93,93,0,2,0,115.04255463311122
94,94,2,0,120,112.6929165843094
95,95,1,1,60,108.51809755990848
96,96,0,2,0,114.51809755990848
97,97,2,0,120,112.16845951110665
98,98,1,1,60,107.99364048670574
99,99,0,2,0,113.99364048670574
