,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,120.0
1,1,2,0,120,100.0
2,2,3,0,180,100.0
3,3,3,1,180,106.0
4,4,3,1,180,106.0
5,5,3,1,180,106.0
6,6,0,2,0,112.0
7,7,0,2,0,112.0
8,8,2,0,120,110.0
9,9,1,1,60,106.0
10,10,0,2,0,112.0
11,11,2,0,120,110.0
12,12,1,1,60,106.0
13,13,0,2,0,112.0
14,14,2,0,120,110.0
15,15,1,1,60,106.0
16,16,0,2,0,112.0
17,17,2,0,120,110.0
18,18,1,1,60,106.0
19,19,0,2,0,112.0
20,20,2,0,120,110.0
21,21,1,1,60,106.0
22,22,0,2,0,112.0
23,23,2,0,120,110.0
24,24,1,1,60,106.0
25,25,0,2,0,112.0
26,26,2,0,120,110.0
27,27,1,1,60,106.0
28,28,0,2,0,112.0
29,29,2,0,120,110.0
30,30,1,1,60,106.0
31,31,0,2,0,112.0
32,32,2,0,120,110.0
33,33,1,1,60,106.0
34,34,0,2,0,112.0
35,35,2,0,120,110.0
36,36,1,1,60,106.0
37,37,0,2,0,112.0
38,38,2,0,120,110.0
39,39,1,1,60,106.0
40,40,0,2,0,112.0
41,41,2,0,120,110.0
42,42,1,1,60,106.0
43,43,0,2,0,112.0
44,44,2,0,120,110.0
45,45,1,1,60,106.0
46,46,0,2,0,112.0
47,47,2,0,120,110.0
48,48,1,1,60,106.0
49,49,0,2,0,112.0
50,50,2,0,120,110.0
51,51,1,1,60,106.0
52,52,0,2,0,112.0
53,53,2,0,120,110.0
54,54,1,1,60,106.0
55,55,0,2,0,112.0
56,56,2,0,120,110.0
57,57,1,1,60,106.0
58,58,0,2,0,112.0
59,59,2,0,120,110.0
60,60,1,1,60,106.0
61,61,0,2,0,112.0
62,62,2,0,120,110.0
63,63,1,1,60,106.0
64,64,0,2,0,112.0
65,65,2,0,120,110.0
66,66,1,1,60,106.0
67,67,0,2,0,112.0
68,68,2,0,120,110.0
69,69,1,1,60,106.0
70,70,0,2,0,112.0
71,71,2,0,120,110.0
72,72,1,1,60,106.0
73,73,0,2,0,112.0
74,74,2,0,120,110.0
75,75,1,1,60,106.0
76,76,0,2,0,112.0
77,77,2,0,120,110.0
78,78,1,1,60,106.0
79,79,0,2,0,112.0
80,80,2,0,120,110.0
81,81,1,1,60,106.0
82,82,0,2,0,112.0
83,83,2,0,120,110.0
84,84,1,1,60,106.0
85,85,0,2,0,112.0
86,86,2,0,120,110.0
87,87,1,1,60,106.0
88,88,0,2,0,112.0
89,89,2,0,120,110.0
90,90,1,1,60,106.0
91,91,0,2,0,112.0
92,92,2,0,120,110.0
93,93,1,1,60,106.0
94,94,0,2,0,112.0
95,95,2,0,120,110.0
96,96,1,1,60,106.0
97,97,0,2,0,112.0
98,98,2,0,120,110.0
99,99,1,1,60,106.0
