,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,40,140.0
1,1,2,0,80,150.0
2,2,3,0,120,130.0
3,3,3,1,120,114.0
4,4,2,1,80,124.0
5,5,3,1,120,104.0
6,6,2,1,80,114.0
7,7,2,1,80,124.0
8,8,3,1,120,104.0
9,9,2,1,80,114.0
10,10,2,1,80,124.0
11,11,3,1,120,104.0
12,12,2,1,80,114.0
13,13,2,1,80,124.0
14,14,3,1,120,104.0
15,15,2,1,80,114.0
16,16,2,1,80,124.0
17,17,3,1,120,104.0
18,18,2,1,80,114.0
19,19,2,1,80,124.0
20,20,3,1,120,104.0
21,21,2,1,80,114.0
22,22,2,1,80,124.0
23,23,3,1,120,104.0
24,24,2,1,80,114.0
25,25,2,1,80,124.0
26,26,3,1,120,104.0
27,27,2,1,80,114.0
28,28,2,1,80,124.0
29,29,3,1,120,104.0
30,30,2,1,80,114.0
31,31,2,1,80,124.0
32,32,3,1,120,104.0
33,33,2,1,80,114.0
34,34,2,1,80,124.0
35,35,3,1,120,104.0
36,36,2,1,80,114.0
37,37,2,1,80,124.0
38,38,3,1,120,104.0
39,39,2,1,80,114.0
40,40,2,1,80,124.0
41,41,3,1,120,104.0
42,42,2,1,80,114.0
43,43,2,1,80,124.0
44,44,3,1,120,104.0
45,45,2,1,80,114.0
46,46,2,1,80,124.0
47,47,3,1,120,104.0
48,48,2,1,80,114.0
49,49,2,1,80,124.0
50,50,3,1,120,104.0
51,51,2,1,80,114.0
52,52,2,1,80,124.0
53,53,3,1,120,104.0
54,54,2,1,80,114.0
55,55,2,1,80,124.0
56,56,3,1,120,104.0
57,57,2,1,80,114.0
58,58,2,1,80,124.0
59,59,3,1,120,104.0
60,60,2,1,80,114.0
61,61,2,1,80,124.0
62,62,3,1,120,104.0
63,63,2,1,80,114.0
64,64,2,1,80,124.0
65,65,3,1,120,104.0
66,66,2,1,80,114.0
67,67,2,1,80,124.0
68,68,3,1,120,104.0
69,69,2,1,80,114.0
70,70,2,1,80,124.0
71,71,3,1,120,104.0
72,72,2,1,80,114.0
73,73,2,1,80,124.0
74,74,3,1,120,104.0
75,75,2,1,80,114.0
76,76,2,1,80,124.0
77,77,3,1,120,104.0
78,78,2,1,80,114.0
79,79,2,1,80,124.0
80,80,3,1,120,104.0
81,81,2,1,80,114.0
82,82,2,1,80,124.0
83,83,3,1,120,104.0
84,84,2,1,80,114.0
85,85,2,1,80,124.0
86,86,3,1,120,104.0
87,87,2,1,80,114.0
88,88,2,1,80,124.0
89,89,3,1,120,104.0
90,90,2,1,80,114.0
91,91,2,1,80,124.0
92,92,3,1,120,104.0
93,93,2,1,80,114.0
94,94,2,1,80,124.0
95,95,3,1,120,104.0
96,96,2,1,80,114.0
97,97,2,1,80,124.0
98,98,3,1,120,104.0
99,99,2,1,80,114.0
