,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,120.0
1,1,2,0,120,100.0
2,2,3,0,180,100.0
3,3,3,1,180,106.0
4,4,3,1,180,106.0
5,5,1,2,60,117.0
6,6,0,2,0,117.0
7,7,2,0,120,100.0
8,8,1,1,60,111.0
9,9,0,2,0,117.0
10,10,2,0,120,100.0
11,11,1,1,60,111.0
12,12,0,2,0,117.0
13,13,2,0,120,100.0
14,14,1,1,60,111.0
15,15,0,2,0,117.0
16,16,2,0,120,100.0
17,17,1,1,60,111.0
18,18,0,2,0,117.0
19,19,2,0,120,100.0
20,20,1,1,60,111.0
21,21,0,2,0,117.0
22,22,2,0,120,100.0
23,23,1,1,60,111.0
24,24,0,2,0,117.0
25,25,2,0,120,100.0
26,26,1,1,60,111.0
27,27,0,2,0,117.0
28,28,2,0,120,100.0
29,29,1,1,60,111.0
30,30,0,2,0,117.0
31,31,2,0,120,100.0
32,32,1,1,60,111.0
33,33,0,2,0,117.0
34,34,2,0,120,100.0
35,35,1,1,60,111.0
36,36,0,2,0,117.0
37,37,2,0,120,100.0
38,38,1,1,60,111.0
39,39,0,2,0,117.0
40,40,2,0,120,100.0
41,41,1,1,60,111.0
42,42,0,2,0,117.0
43,43,2,0,120,100.0
44,44,1,1,60,111.0
45,45,0,2,0,117.0
46,46,2,0,120,100.0
47,47,1,1,60,111.0
48,48,0,2,0,117.0
49,49,2,0,120,100.0
50,50,1,1,60,111.0
51,51,0,2,0,117.0
52,52,2,0,120,100.0
53,53,1,1,60,111.0
54,54,0,2,0,117.0
55,55,2,0,120,100.0
56,56,1,1,60,111.0
57,57,0,2,0,117.0
58,58,2,0,120,100.0
59,59,1,1,60,111.0
60,60,0,2,0,117.0
61,61,2,0,120,100.0
62,62,1,1,60,111.0
63,63,0,2,0,117.0
64,64,2,0,120,100.0
65,65,1,1,60,111.0
66,66,0,2,0,117.0
67,67,2,0,120,100.0
68,68,1,1,60,111.0
69,69,0,2,0,117.0
70,70,2,0,120,100.0
71,71,1,1,60,111.0
72,72,0,2,0,117.0
73,73,2,0,120,100.0
74,74,1,1,60,111.0
75,75,0,2,0,117.0
76,76,2,0,120,100.0
77,77,1,1,60,111.0
78,78,0,2,0,117.0
79,79,2,0,120,100.0
80,80,1,1,60,111.0
81,81,0,2,0,117.0
82,82,2,0,120,100.0
83,83,1,1,60,111.0
84,84,0,2,0,117.0
85,85,2,0,120,100.0
86,86,1,1,60,111.0
87,87,0,2,0,117.0
88,88,2,0,120,100.0
89,89,1,1,60,111.0
90,90,0,2,0,117.0
91,91,2,0,120,100.0
92,92,1,1,60,111.0
93,93,0,2,0,117.0
94,94,2,0,120,100.0
95,95,1,1,60,111.0
96,96,0,2,0,117.0
97,97,2,0,120,100.0
98,98,1,1,60,111.0
99,99,0,2,0,117.0
