,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,120.0
1,1,2,0,120,100.0
2,2,3,0,180,100.0
3,3,3,1,180,106.0
4,4,3,1,180,106.0
5,5,3,1,180,106.0
6,6,0,2,0,112.0
7,7,3,0,180,100.0
8,8,3,1,180,106.0
9,9,0,2,0,112.0
10,10,3,0,180,100.0
11,11,3,1,180,106.0
12,12,0,2,0,112.0
13,13,3,0,180,100.0
14,14,3,1,180,106.0
15,15,0,2,0,112.0
16,16,3,0,180,100.0
17,17,3,1,180,106.0
18,18,0,2,0,112.0
19,19,3,0,180,100.0
20,20,3,1,180,106.0
21,21,0,2,0,112.0
22,22,3,0,180,100.0
23,23,3,1,180,106.0
24,24,0,2,0,112.0
25,25,3,0,180,100.0
26,26,3,1,180,106.0
27,27,0,2,0,112.0
28,28,3,0,180,100.0
29,29,3,1,180,106.0
30,30,0,2,0,112.0
31,31,3,0,180,100.0
32,32,3,1,180,106.0
33,33,0,2,0,112.0
34,34,3,0,180,100.0
35,35,3,1,180,106.0
36,36,0,2,0,112.0
37,37,3,0,180,100.0
38,38,3,1,180,106.0
39,39,0,2,0,112.0
40,40,3,0,180,100.0
41,41,3,1,180,106.0
42,42,0,2,0,112.0
43,43,3,0,180,100.0
44,44,3,1,180,106.0
45,45,0,2,0,112.0
46,46,3,0,180,100.0
47,47,3,1,180,106.0
48,48,0,2,0,112.0
49,49,3,0,180,100.0
50,50,3,1,180,106.0
51,51,0,2,0,112.0
52,52,3,0,180,100.0
53,53,3,1,180,106.0
54,54,0,2,0,112.0
55,55,3,0,180,100.0
56,56,3,1,180,106.0
57,57,0,2,0,112.0
58,58,3,0,180,100.0
59,59,3,1,180,106.0
60,60,0,2,0,112.0
61,61,3,0,180,100.0
62,62,3,1,180,106.0
63,63,0,2,0,112.0
64,64,3,0,180,100.0
65,65,3,1,180,106.0
66,66,0,2,0,112.0
67,67,3,0,180,100.0
68,68,3,1,180,106.0
69,69,0,2,0,112.0
70,70,3,0,180,100.0
71,71,3,1,180,106.0
72,72,0,2,0,112.0
73,73,3,0,180,100.0
74,74,3,1,180,106.0
75,75,0,2,0,112.0
76,76,3,0,180,100.0
77,77,3,1,180,106.0
78,78,0,2,0,112.0
79,79,3,0,180,100.0
80,80,3,1,180,106.0
81,81,0,2,0,112.0
82,82,3,0,180,100.0
83,83,3,1,180,106.0
84,84,0,2,0,112.0
85,85,3,0,180,100.0
86,86,3,1,180,106.0
87,87,0,2,0,112.0
88,88,3,0,180,100.0
89,89,3,1,180,106.0
90,90,0,2,0,112.0
91,91,3,0,180,100.0
92,92,3,1,180,106.0
93,93,0,2,0,112.0
94,94,3,0,180,100.0
95,95,3,1,180,106.0
96,96,0,2,0,112.0
97,97,3,0,180,100.0
98,98,3,1,180,106.0
99,99,0,2,0,112.0
