,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.82518097559908
1,1,2,0,120,129.47554292679726
2,2,3,0,180,128.95108585359452
3,3,4,0,240,118.25180975599085
4,4,1,2,60,120.07699073158993
5,5,0,2,0,120.07699073158993
6,6,3,0,180,107.55253365838719
7,7,3,1,180,113.02807658518444
8,8,0,2,0,119.02807658518444
9,9,0,2,0,119.02807658518444
10,10,0,1,0,113.02807658518444
11,11,0,1,0,113.02807658518444
12,12,0,1,0,113.02807658518444
13,13,0,1,0,113.02807658518444
14,14,0,1,0,113.02807658518444
15,15,0,1,0,113.02807658518444
16,16,0,1,0,113.02807658518444
17,17,0,1,0,113.02807658518444
18,18,0,1,0,113.02807658518444
19,19,0,1,0,113.02807658518444
20,20,0,1,0,113.02807658518444
21,21,0,1,0,113.02807658518444
22,22,0,1,0,113.02807658518444
23,23,0,1,0,113.02807658518444
24,24,0,1,0,113.02807658518444
25,25,0,1,0,113.02807658518444
26,26,0,1,0,113.02807658518444
27,27,0,1,0,113.02807658518444
28,28,0,1,0,113.02807658518444
29,29,0,1,0,113.02807658518444
30,30,0,1,0,113.02807658518444
31,31,0,1,0,113.02807658518444
32,32,0,1,0,113.02807658518444
33,33,0,1,0,113.02807658518444
34,34,0,1,0,113.02807658518444
35,35,0,1,0,113.02807658518444
36,36,0,1,0,113.02807658518444
37,37,0,1,0,113.02807658518444
38,38,0,1,0,113.02807658518444
39,39,0,1,0,113.02807658518444
40,40,0,1,0,113.02807658518444
41,41,0,1,0,113.02807658518444
42,42,0,1,0,113.02807658518444
43,43,0,1,0,113.02807658518444
44,44,0,1,0,113.02807658518444
45,45,0,1,0,113.02807658518444
46,46,0,1,0,113.02807658518444
47,47,0,1,0,113.02807658518444
48,48,0,1,0,113.02807658518444
49,49,0,1,0,113.02807658518444
50,50,0,1,0,113.02807658518444
51,51,0,1,0,113.02807658518444
52,52,0,1,0,113.02807658518444
53,53,0,1,0,113.02807658518444
54,54,0,1,0,113.02807658518444
55,55,0,1,0,113.02807658518444
56,56,0,1,0,113.02807658518444
57,57,0,1,0,113.02807658518444
58,58,0,1,0,113.02807658518444
59,59,0,1,0,113.02807658518444
60,60,0,1,0,113.02807658518444
61,61,0,1,0,113.02807658518444
62,62,0,1,0,113.02807658518444
63,63,0,1,0,113.02807658518444
64,64,0,1,0,113.02807658518444
65,65,0,1,0,113.02807658518444
66,66,0,1,0,113.02807658518444
67,67,0,1,0,113.02807658518444
68,68,0,1,0,113.02807658518444
69,69,0,1,0,113.02807658518444
70,70,0,1,0,113.02807658518444
71,71,0,1,0,113.02807658518444
72,72,0,1,0,113.02807658518444
73,73,0,1,0,113.02807658518444
74,74,0,1,0,113.02807658518444
75,75,0,1,0,113.02807658518444
76,76,0,1,0,113.02807658518444
77,77,0,1,0,113.02807658518444
78,78,0,1,0,113.02807658518444
79,79,0,1,0,113.02807658518444
80,80,0,1,0,113.02807658518444
81,81,0,1,0,113.02807658518444
82,82,0,1,0,113.02807658518444
83,83,0,1,0,113.02807658518444
84,84,0,1,0,113.02807658518444
85,85,0,1,0,113.02807658518444
86,86,0,1,0,113.02807658518444
87,87,0,1,0,113.02807658518444
88,88,0,1,0,113.02807658518444
89,89,0,1,0,113.02807658518444
90,90,0,1,0,113.02807658518444
91,91,0,1,0,113.02807658518444
92,92,0,1,0,113.02807658518444
93,93,0,1,0,113.02807658518444
94,94,0,1,0,113.02807658518444
95,95,0,1,0,113.02807658518444
96,96,0,1,0,113.02807658518444
97,97,0,1,0,113.02807658518444
98,98,0,1,0,113.02807658518444
99,99,0,1,0,113.02807658518444
