,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,80,140.0
1,1,4,0,160,150.0
2,2,6,0,240,130.0
3,3,6,1,240,114.0
4,4,5,2,200,113.0
5,5,5,2,200,108.0
6,6,4,3,160,122.0
7,7,5,2,200,113.0
8,8,5,2,200,108.0
9,9,4,2,160,118.0
10,10,5,2,200,113.0
11,11,5,2,200,108.0
12,12,4,2,160,118.0
13,13,5,2,200,113.0
14,14,5,2,200,108.0
15,15,4,2,160,118.0
16,16,5,2,200,113.0
17,17,5,2,200,108.0
18,18,4,2,160,118.0
19,19,5,2,200,113.0
20,20,5,2,200,108.0
21,21,4,2,160,118.0
22,22,5,2,200,113.0
23,23,5,2,200,108.0
24,24,4,2,160,118.0
25,25,5,2,200,113.0
26,26,5,2,200,108.0
27,27,4,2,160,118.0
28,28,5,2,200,113.0
29,29,5,2,200,108.0
30,30,4,2,160,118.0
31,31,5,2,200,113.0
32,32,5,2,200,108.0
33,33,4,2,160,118.0
34,34,5,2,200,113.0
35,35,5,2,200,108.0
36,36,4,2,160,118.0
37,37,5,2,200,113.0
38,38,5,2,200,108.0
39,39,4,2,160,118.0
40,40,5,2,200,113.0
41,41,5,2,200,108.0
42,42,4,2,160,118.0
43,43,5,2,200,113.0
44,44,5,2,200,108.0
45,45,4,2,160,118.0
46,46,5,2,200,113.0
47,47,5,2,200,108.0
48,48,4,2,160,118.0
49,49,5,2,200,113.0
50,50,5,2,200,108.0
51,51,4,2,160,118.0
52,52,5,2,200,113.0
53,53,5,2,200,108.0
54,54,4,2,160,118.0
55,55,5,2,200,113.0
56,56,5,2,200,108.0
57,57,4,2,160,118.0
58,58,5,2,200,113.0
59,59,5,2,200,108.0
60,60,4,2,160,118.0
61,61,5,2,200,113.0
62,62,5,2,200,108.0
63,63,4,2,160,118.0
64,64,5,2,200,113.0
65,65,5,2,200,108.0
66,66,4,2,160,118.0
67,67,5,2,200,113.0
68,68,5,2,200,108.0
69,69,4,2,160,118.0
70,70,5,2,200,113.0
71,71,5,2,200,108.0
72,72,4,2,160,118.0
73,73,5,2,200,113.0
74,74,5,2,200,108.0
75,75,4,2,160,118.0
76,76,5,2,200,113.0
77,77,5,2,200,108.0
78,78,4,2,160,118.0
79,79,5,2,200,113.0
80,80,5,2,200,108.0
81,81,4,2,160,118.0
82,82,5,2,200,113.0
83,83,5,2,200,108.0
84,84,4,2,160,118.0
85,85,5,2,200,113.0
86,86,5,2,200,108.0
87,87,4,2,160,118.0
88,88,5,2,200,113.0
89,89,5,2,200,108.0
90,90,4,2,160,118.0
91,91,5,2,200,113.0
92,92,5,2,200,108.0
93,93,4,2,160,118.0
94,94,5,2,200,113.0
95,95,5,2,200,108.0
96,96,4,2,160,118.0
97,97,5,2,200,113.0
98,98,5,2,200,108.0
99,99,4,2,160,118.0
