,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.50117275867404
1,1,2,0,120,128.50351827602213
2,2,3,0,180,127.00703655204427
3,3,4,0,240,115.01172758674045
4,4,1,2,60,116.51290034541451
5,5,3,1,180,109.01641862143664
6,6,0,2,0,115.01641862143664
7,7,0,2,0,115.01641862143664
8,8,2,0,120,112.01876413878475
9,9,1,1,60,107.51993689745879
10,10,0,2,0,113.51993689745879
11,11,2,0,120,110.5222824148069
12,12,1,1,60,106.02345517348094
13,13,0,2,0,112.02345517348094
14,14,2,0,120,109.02580069082904
15,15,0,2,0,121.02580069082904
16,16,0,1,0,115.02580069082904
17,17,2,0,120,118.02814620817713
18,18,1,1,60,113.52931896685118
19,19,0,2,0,119.52931896685118
20,20,2,0,120,116.53166448419928
21,21,1,1,60,112.03283724287333
22,22,0,2,0,118.03283724287333
23,23,2,0,120,115.03518276022143
24,24,1,1,60,110.53635551889548
25,25,0,2,0,116.53635551889548
26,26,2,0,120,113.53870103624357
27,27,1,1,60,109.03987379491761
28,28,0,2,0,115.03987379491761
29,29,2,0,120,112.04221931226571
30,30,1,1,60,107.54339207093976
31,31,0,2,0,113.54339207093976
32,32,2,0,120,110.54573758828786
33,33,1,1,60,106.04691034696191
34,34,0,2,0,112.04691034696191
35,35,2,0,120,109.04925586431
36,36,0,2,0,121.04925586431
37,37,0,1,0,115.04925586431
38,38,2,0,120,118.0516013816581
39,39,1,1,60,113.55277414033215
40,40,0,2,0,119.55277414033215
41,41,2,0,120,116.55511965768025
42,42,1,1,60,112.0562924163543
43,43,0,2,0,118.0562924163543
44,44,2,0,120,115.05863793370239
45,45,1,1,60,110.55981069237644
46,46,0,2,0,116.55981069237644
47,47,2,0,120,113.56215620972453
48,48,1,1,60,109.06332896839858
49,49,0,2,0,115.06332896839858
50,50,2,0,120,112.06567448574668
51,51,1,1,60,107.56684724442073
52,52,0,2,0,113.56684724442073
53,53,2,0,120,110.56919276176882
54,54,1,1,60,106.07036552044288
55,55,0,2,0,112.07036552044288
56,56,2,0,120,109.07271103779097
57,57,0,2,0,121.07271103779097
58,58,0,1,0,115.07271103779097
59,59,2,0,120,118.07505655513907
60,60,1,1,60,113.57622931381312
61,61,0,2,0,119.57622931381312
62,62,2,0,120,116.57857483116122
63,63,1,1,60,112.07974758983526
64,64,0,2,0,118.07974758983526
65,65,2,0,120,115.08209310718335
66,66,1,1,60,110.5832658658574
67,67,0,2,0,116.5832658658574
68,68,2,0,120,113.5856113832055
69,69,1,1,60,109.08678414187955
70,70,0,2,0,115.08678414187955
71,71,2,0,120,112.08912965922764
72,72,1,1,60,107.5903024179017
73,73,0,2,0,113.5903024179017
74,74,2,0,120,110.59264793524979
75,75,1,1,60,106.09382069392383
76,76,0,2,0,112.09382069392383
77,77,2,0,120,109.09616621127194
78,78,0,2,0,121.09616621127194
79,79,0,1,0,115.09616621127194
80,80,2,0,120,118.09851172862004
81,81,1,1,60,113.59968448729408
82,82,0,2,0,119.59968448729408
83,83,2,0,120,116.60203000464219
84,84,1,1,60,112.10320276331623
85,85,0,2,0,118.10320276331623
86,86,2,0,120,115.10554828066432
87,87,1,1,60,110.60672103933837
88,88,0,2,0,116.60672103933837
89,89,2,0,120,113.60906655668647
90,90,1,1,60,109.11023931536052
91,91,0,2,0,115.11023931536052
92,92,2,0,120,112.1125848327086
93,93,1,1,60,107.61375759138265
94,94,0,2,0,113.61375759138265
95,95,2,0,120,110.61610310873075
96,96,1,1,60,106.1172758674048
97,97,0,2,0,112.1172758674048
98,98,2,0,120,109.1196213847529
99,99,0,2,0,121.1196213847529
