,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,40,139.83182913777048
1,1,2,0,80,149.66365827554097
2,2,3,0,120,129.49548741331142
3,3,3,1,120,113.3273165510819
4,4,2,1,80,123.15914568885239
5,5,2,1,80,132.99097482662287
6,6,3,1,120,112.82280396439334
7,7,2,1,80,122.65463310216383
8,8,2,1,80,132.4864622399343
9,9,3,1,120,112.31829137770478
10,10,2,1,80,122.15012051547527
11,11,2,1,80,131.98194965324575
12,12,3,1,120,111.81377879101622
13,13,2,1,80,121.64560792878669
14,14,2,1,80,131.47743706655717
15,15,3,1,120,111.30926620432766
16,16,2,1,80,121.14109534209813
17,17,2,1,80,130.9729244798686
18,18,3,1,120,110.80475361763908
19,19,2,1,80,120.63658275540956
20,20,2,1,80,130.46841189318005
21,21,3,1,120,110.30024103095052
22,22,2,1,80,120.132070168721
23,23,2,1,80,129.96389930649147
24,24,3,1,120,109.79572844426195
25,25,2,1,80,119.62755758203244
26,26,2,1,80,129.45938671980292
27,27,3,1,120,109.29121585757339
28,28,2,1,80,119.12304499534386
29,29,2,1,80,128.95487413311434
30,30,3,1,120,108.78670327088483
31,31,2,1,80,118.6185324086553
32,32,2,1,80,128.45036154642577
33,33,3,1,120,108.28219068419625
34,34,2,1,80,118.11401982196674
35,35,2,1,80,127.94584895973722
36,36,3,1,120,107.77767809750769
37,37,2,1,80,117.60950723527817
38,38,2,1,80,127.44133637304864
39,39,3,1,120,107.27316551081913
40,40,2,1,80,117.10499464858961
41,41,2,1,80,126.93682378636008
42,42,3,1,120,106.76865292413056
43,43,2,1,80,116.60048206190103
44,44,2,1,80,126.43231119967152
45,45,3,1,120,106.26414033744199
46,46,2,1,80,116.09596947521247
47,47,2,1,80,125.92779861298294
48,48,3,1,120,105.75962775075342
49,49,2,1,80,115.5914568885239
50,50,2,1,80,125.42328602629438
51,51,3,1,120,105.25511516406485
52,52,2,1,80,115.08694430183533
53,53,2,1,80,124.9187734396058
54,54,3,1,120,104.75060257737627
55,55,2,1,80,114.58243171514675
56,56,2,1,80,124.41426085291724
57,57,3,1,120,104.24608999068771
58,58,2,1,80,114.07791912845818
59,59,2,1,80,123.90974826622866
60,60,2,1,80,133.74157740399914
61,61,3,1,120,113.57340654176961
62,62,2,1,80,123.40523567954008
63,63,2,1,80,133.23706481731057
64,64,3,1,120,113.06889395508105
65,65,2,1,80,122.90072309285152
66,66,2,1,80,132.732552230622
67,67,3,1,120,112.56438136839247
68,68,2,1,80,122.39621050616296
69,69,2,1,80,132.22803964393344
70,70,3,1,120,112.05986878170391
71,71,2,1,80,121.8916979194744
72,72,2,1,80,131.72352705724487
73,73,3,1,120,111.55535619501535
74,74,2,1,80,121.38718533278583
75,75,2,1,80,131.21901447055632
76,76,3,1,120,111.05084360832679
77,77,2,1,80,120.88267274609726
78,78,2,1,80,130.71450188386774
79,79,3,1,120,110.54633102163822
80,80,2,1,80,120.3781601594087
81,81,2,1,80,130.20998929717916
82,82,3,1,120,110.04181843494965
83,83,2,1,80,119.87364757272013
84,84,2,1,80,129.70547671049061
85,85,3,1,120,109.53730584826108
86,86,2,1,80,119.36913498603157
87,87,2,1,80,129.20096412380204
88,88,3,1,120,109.03279326157252
89,89,2,1,80,118.864622399343
90,90,2,1,80,128.6964515371135
91,91,3,1,120,108.52828067488396
92,92,2,1,80,118.36010981265443
93,93,2,1,80,128.1919389504249
94,94,3,1,120,108.0237680881954
95,95,2,1,80,117.85559722596587
96,96,2,1,80,127.68742636373635
97,97,3,1,120,107.51925550150682
98,98,2,1,80,117.3510846392773
99,99,2,1,80,127.18291377704779
