,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,40,140.0
1,1,2,0,80,150.0
2,2,3,0,120,160.0
3,3,4,0,160,140.0
4,4,4,1,160,124.0
5,5,4,1,160,104.0
6,6,3,1,120,114.0
7,7,3,1,120,124.0
8,8,4,1,160,104.0
9,9,3,1,120,114.0
10,10,3,1,120,124.0
11,11,4,1,160,104.0
12,12,3,1,120,114.0
13,13,3,1,120,124.0
14,14,4,1,160,104.0
15,15,3,1,120,114.0
16,16,3,1,120,124.0
17,17,4,1,160,104.0
18,18,3,1,120,114.0
19,19,3,1,120,124.0
20,20,4,1,160,104.0
21,21,3,1,120,114.0
22,22,3,1,120,124.0
23,23,4,1,160,104.0
24,24,3,1,120,114.0
25,25,3,1,120,124.0
26,26,4,1,160,104.0
27,27,3,1,120,114.0
28,28,3,1,120,124.0
29,29,4,1,160,104.0
30,30,3,1,120,114.0
31,31,3,1,120,124.0
32,32,4,1,160,104.0
33,33,3,1,120,114.0
34,34,3,1,120,124.0
35,35,4,1,160,104.0
36,36,3,1,120,114.0
37,37,3,1,120,124.0
38,38,4,1,160,104.0
39,39,3,1,120,114.0
40,40,3,1,120,124.0
41,41,4,1,160,104.0
42,42,3,1,120,114.0
43,43,3,1,120,124.0
44,44,4,1,160,104.0
45,45,3,1,120,114.0
46,46,3,1,120,124.0
47,47,4,1,160,104.0
48,48,3,1,120,114.0
49,49,3,1,120,124.0
50,50,4,1,160,104.0
51,51,3,1,120,114.0
52,52,3,1,120,124.0
53,53,4,1,160,104.0
54,54,3,1,120,114.0
55,55,3,1,120,124.0
56,56,4,1,160,104.0
57,57,3,1,120,114.0
58,58,3,1,120,124.0
59,59,4,1,160,104.0
60,60,3,1,120,114.0
61,61,3,1,120,124.0
62,62,4,1,160,104.0
63,63,3,1,120,114.0
64,64,3,1,120,124.0
65,65,4,1,160,104.0
66,66,3,1,120,114.0
67,67,3,1,120,124.0
68,68,4,1,160,104.0
69,69,3,1,120,114.0
70,70,3,1,120,124.0
71,71,4,1,160,104.0
72,72,3,1,120,114.0
73,73,3,1,120,124.0
74,74,4,1,160,104.0
75,75,3,1,120,114.0
76,76,3,1,120,124.0
77,77,4,1,160,104.0
78,78,3,1,120,114.0
79,79,3,1,120,124.0
80,80,4,1,160,104.0
81,81,3,1,120,114.0
82,82,3,1,120,124.0
83,83,4,1,160,104.0
84,84,3,1,120,114.0
85,85,3,1,120,124.0
86,86,4,1,160,104.0
87,87,3,1,120,114.0
88,88,3,1,120,124.0
89,89,4,1,160,104.0
90,90,3,1,120,114.0
91,91,3,1,120,124.0
92,92,4,1,160,104.0
93,93,3,1,120,114.0
94,94,3,1,120,124.0
95,95,4,1,160,104.0
96,96,3,1,120,114.0
97,97,3,1,120,124.0
98,98,4,1,160,104.0
99,99,3,1,120,114.0
