,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.76225103287656
1,1,2,0,120,129.2867530986297
2,2,3,0,180,128.5735061972594
3,3,4,0,240,117.62251032876566
4,4,3,1,180,107.90926342739535
5,5,0,3,0,119.90926342739535
6,6,1,1,60,112.67151446027191
7,7,2,1,120,107.19601652602503
8,8,0,2,0,113.19601652602503
9,9,0,1,0,107.19601652602503
10,10,0,1,0,107.19601652602503
11,11,0,1,0,107.19601652602503
12,12,1,1,60,111.9582675589016
13,13,2,0,120,100.48276962465472
14,14,0,2,0,112.48276962465472
15,15,1,1,60,111.24502065753128
16,16,1,1,60,116.00727169040785
17,17,0,1,0,116.00727169040785
18,18,2,0,120,104.53177375616097
19,19,1,1,60,115.29402478903754
20,20,0,2,0,121.29402478903754
21,21,2,0,120,103.81852685479066
22,22,0,2,0,115.81852685479066
23,23,1,1,60,114.58077788766722
24,24,2,0,120,103.10527995342035
25,25,0,2,0,115.10527995342035
26,26,1,1,60,113.86753098629691
27,27,2,0,120,102.39203305205004
28,28,0,2,0,114.39203305205004
29,29,1,1,60,113.1542840849266
30,30,2,0,120,101.67878615067973
31,31,0,2,0,113.67878615067973
32,32,1,1,60,112.44103718355629
33,33,2,0,120,100.96553924930942
34,34,0,2,0,112.96553924930942
35,35,1,1,60,111.72779028218598
36,36,2,0,120,100.2522923479391
37,37,0,2,0,112.2522923479391
38,38,1,1,60,111.01454338081567
39,39,1,1,60,115.77679441369223
40,40,0,1,0,115.77679441369223
41,41,2,0,120,104.30129647944536
42,42,1,1,60,115.06354751232192
43,43,0,2,0,121.06354751232192
44,44,2,0,120,103.58804957807504
45,45,0,2,0,115.58804957807504
46,46,1,1,60,114.3503006109516
47,47,2,0,120,102.87480267670473
48,48,0,2,0,114.87480267670473
49,49,1,1,60,113.6370537095813
50,50,2,0,120,102.16155577533442
51,51,0,2,0,114.16155577533442
52,52,1,1,60,112.92380680821098
53,53,2,0,120,101.44830887396411
54,54,0,2,0,113.44830887396411
55,55,1,1,60,112.21055990684067
56,56,2,0,120,100.7350619725938
57,57,0,2,0,112.7350619725938
58,58,1,1,60,111.49731300547036
59,59,2,0,120,100.02181507122349
60,60,0,2,0,112.02181507122349
61,61,1,1,60,110.78406610410005
62,62,1,1,60,115.54631713697661
63,63,0,1,0,115.54631713697661
64,64,2,0,120,104.07081920272974
65,65,1,1,60,114.8330702356063
66,66,0,2,0,120.8330702356063
67,67,2,0,120,103.35757230135943
68,68,0,2,0,115.35757230135943
69,69,1,1,60,114.11982333423599
70,70,2,0,120,102.64432539998911
71,71,0,2,0,114.64432539998911
72,72,1,1,60,113.40657643286568
73,73,2,0,120,101.9310784986188
74,74,0,2,0,113.9310784986188
75,75,1,1,60,112.69332953149537
76,76,2,0,120,101.21783159724849
77,77,0,2,0,113.21783159724849
78,78,1,1,60,111.98008263012505
79,79,2,0,120,100.50458469587818
80,80,0,2,0,112.50458469587818
81,81,1,1,60,111.26683572875474
82,82,1,1,60,116.0290867616313
83,83,0,1,0,116.0290867616313
84,84,2,0,120,104.55358882738443
85,85,1,1,60,115.315839860261
86,86,0,2,0,121.315839860261
87,87,2,0,120,103.84034192601412
88,88,1,1,60,114.60259295889068
89,89,0,2,0,120.60259295889068
90,90,2,0,120,103.12709502464381
91,91,0,2,0,115.12709502464381
92,92,1,1,60,113.88934605752037
93,93,2,0,120,102.4138481232735
94,94,0,2,0,114.4138481232735
95,95,1,1,60,113.17609915615006
96,96,2,0,120,101.70060122190318
97,97,0,2,0,113.70060122190318
98,98,1,1,60,112.46285225477975
99,99,2,0,120,100.98735432053287
