,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,120.26068458710672
1,1,2,0,120,100.78205376132016
2,2,3,0,180,101.56410752264033
3,3,3,1,180,108.34616128396048
4,4,3,1,180,109.12821504528065
5,5,1,2,60,120.38889963238736
6,6,0,2,0,120.38889963238736
7,7,2,0,120,103.91026880660081
8,8,1,1,60,115.17095339370753
9,9,0,2,0,121.17095339370753
10,10,2,0,120,104.69232256792097
11,11,2,1,120,106.21369174213442
12,12,0,2,0,112.21369174213442
13,13,1,1,60,111.47437632924114
14,14,2,0,120,100.99574550345457
15,15,0,2,0,112.99574550345457
16,16,1,1,60,112.2564300905613
17,17,2,0,120,101.77779926477474
18,18,0,2,0,113.77779926477474
19,19,1,1,60,113.03848385188147
20,20,2,0,120,102.5598530260949
21,21,0,2,0,114.5598530260949
22,22,1,1,60,113.82053761320162
23,23,2,0,120,103.34190678741507
24,24,0,2,0,115.34190678741507
25,25,1,1,60,114.60259137452178
26,26,2,0,120,104.12396054873523
27,27,0,2,0,116.12396054873523
28,28,1,1,60,115.38464513584195
29,29,2,0,120,104.90601431005538
30,30,0,2,0,116.90601431005538
31,31,2,0,120,100.42738348426883
32,32,1,1,60,111.68806807137555
33,33,0,2,0,117.68806807137555
34,34,2,0,120,101.20943724558899
35,35,1,1,60,112.47012183269571
36,36,0,2,0,118.47012183269571
37,37,2,0,120,101.99149100690916
38,38,1,1,60,113.25217559401588
39,39,0,2,0,119.25217559401588
40,40,2,0,120,102.77354476822931
41,41,1,1,60,114.03422935533604
42,42,0,2,0,120.03422935533604
43,43,2,0,120,103.55559852954948
44,44,1,1,60,114.8162831166562
45,45,0,2,0,120.8162831166562
46,46,2,0,120,104.33765229086964
47,47,1,1,60,115.59833687797637
48,48,0,2,0,121.59833687797637
49,49,2,0,120,105.1197060521898
50,50,2,1,120,106.64107522640325
51,51,0,2,0,112.64107522640325
52,52,1,1,60,111.90175981350997
53,53,2,0,120,101.4231289877234
54,54,0,2,0,113.4231289877234
55,55,1,1,60,112.68381357483013
56,56,2,0,120,102.20518274904357
57,57,0,2,0,114.20518274904357
58,58,1,1,60,113.4658673361503
59,59,2,0,120,102.98723651036373
60,60,0,2,0,114.98723651036373
61,61,1,1,60,114.24792109747045
62,62,2,0,120,103.7692902716839
63,63,0,2,0,115.7692902716839
64,64,1,1,60,115.02997485879061
65,65,2,0,120,104.55134403300406
66,66,0,2,0,116.55134403300406
67,67,2,0,120,100.0727132072175
68,68,1,1,60,111.33339779432421
69,69,0,2,0,117.33339779432421
70,70,2,0,120,100.85476696853766
71,71,1,1,60,112.11545155564438
72,72,0,2,0,118.11545155564438
73,73,2,0,120,101.63682072985782
74,74,1,1,60,112.89750531696454
75,75,0,2,0,118.89750531696454
76,76,2,0,120,102.41887449117799
77,77,1,1,60,113.67955907828471
78,78,0,2,0,119.67955907828471
79,79,2,0,120,103.20092825249814
80,80,1,1,60,114.46161283960487
81,81,0,2,0,120.46161283960487
82,82,2,0,120,103.98298201381832
83,83,1,1,60,115.24366660092502
84,84,0,2,0,121.24366660092502
85,85,2,0,120,104.76503577513847
86,86,2,1,120,106.28640494935192
87,87,0,2,0,112.28640494935192
88,88,1,1,60,111.54708953645863
89,89,2,0,120,101.06845871067208
90,90,0,2,0,113.06845871067208
91,91,1,1,60,112.3291432977788
92,92,2,0,120,101.85051247199223
93,93,0,2,0,113.85051247199223
94,94,1,1,60,113.11119705909896
95,95,2,0,120,102.6325662333124
96,96,0,2,0,114.6325662333124
97,97,1,1,60,113.89325082041913
98,98,2,0,120,103.41461999463256
99,99,0,2,0,115.41461999463256
