,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,120.0
1,1,2,0,120,100.0
2,2,3,0,180,100.0
3,3,3,1,180,106.0
4,4,3,1,180,106.0
5,5,1,2,60,117.0
6,6,2,1,120,106.0
7,7,0,2,0,112.0
8,8,0,1,0,106.0
9,9,0,1,0,106.0
10,10,0,1,0,106.0
11,11,0,1,0,106.0
12,12,0,1,0,106.0
13,13,0,1,0,106.0
14,14,0,1,0,106.0
15,15,1,1,60,111.0
16,16,2,0,120,100.0
17,17,1,1,60,111.0
18,18,0,2,0,117.0
19,19,2,0,120,100.0
20,20,1,1,60,111.0
21,21,2,1,120,106.0
22,22,0,2,0,112.0
23,23,1,1,60,111.0
24,24,2,0,120,100.0
25,25,0,2,0,112.0
26,26,1,1,60,111.0
27,27,2,0,120,100.0
28,28,1,1,60,111.0
29,29,0,2,0,117.0
30,30,2,0,120,100.0
31,31,1,1,60,111.0
32,32,2,1,120,106.0
33,33,0,2,0,112.0
34,34,1,1,60,111.0
35,35,2,0,120,100.0
36,36,0,2,0,112.0
37,37,1,1,60,111.0
38,38,2,0,120,100.0
39,39,1,1,60,111.0
40,40,0,2,0,117.0
41,41,2,0,120,100.0
42,42,1,1,60,111.0
43,43,2,1,120,106.0
44,44,0,2,0,112.0
45,45,1,1,60,111.0
46,46,2,0,120,100.0
47,47,0,2,0,112.0
48,48,1,1,60,111.0
49,49,2,0,120,100.0
50,50,1,1,60,111.0
51,51,0,2,0,117.0
52,52,2,0,120,100.0
53,53,1,1,60,111.0
54,54,2,1,120,106.0
55,55,0,2,0,112.0
56,56,1,1,60,111.0
57,57,2,0,120,100.0
58,58,0,2,0,112.0
59,59,1,1,60,111.0
60,60,2,0,120,100.0
61,61,1,1,60,111.0
62,62,0,2,0,117.0
63,63,2,0,120,100.0
64,64,1,1,60,111.0
65,65,2,1,120,106.0
66,66,0,2,0,112.0
67,67,1,1,60,111.0
68,68,2,0,120,100.0
69,69,0,2,0,112.0
70,70,1,1,60,111.0
71,71,2,0,120,100.0
72,72,1,1,60,111.0
73,73,0,2,0,117.0
74,74,2,0,120,100.0
75,75,1,1,60,111.0
76,76,2,1,120,106.0
77,77,0,2,0,112.0
78,78,1,1,60,111.0
79,79,2,0,120,100.0
80,80,0,2,0,112.0
81,81,1,1,60,111.0
82,82,2,0,120,100.0
83,83,1,1,60,111.0
84,84,0,2,0,117.0
85,85,2,0,120,100.0
86,86,1,1,60,111.0
87,87,2,1,120,106.0
88,88,0,2,0,112.0
89,89,1,1,60,111.0
90,90,2,0,120,100.0
91,91,0,2,0,112.0
92,92,1,1,60,111.0
93,93,2,0,120,100.0
94,94,1,1,60,111.0
95,95,0,2,0,117.0
96,96,2,0,120,100.0
97,97,1,1,60,111.0
98,98,2,1,120,106.0
99,99,0,2,0,112.0
