,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,80,139.78010503258363
1,1,4,0,160,149.56021006516724
2,2,6,0,240,129.34031509775087
3,3,6,1,240,113.12042013033448
4,4,5,2,200,111.90052516291811
5,5,4,3,160,125.68063019550173
6,6,5,2,200,116.46073522808535
7,7,5,2,200,111.24084026066897
8,8,4,2,160,121.0209452932526
9,9,5,2,200,115.80105032583623
10,10,5,2,200,110.58115535841985
11,11,4,2,160,120.36126039100347
12,12,5,2,200,115.14136542358709
13,13,5,2,200,109.92147045617071
14,14,4,2,160,119.70157548875433
15,15,5,2,200,114.48168052133795
16,16,5,2,200,109.26178555392157
17,17,4,2,160,119.04189058650519
18,18,5,2,200,113.82199561908881
19,19,5,2,200,108.60210065167243
20,20,4,2,160,118.38220568425606
21,21,5,2,200,113.16231071683968
22,22,4,2,160,122.9424157494233
23,23,5,2,200,117.72252078200692
24,24,5,2,200,112.50262581459054
25,25,4,2,160,122.28273084717416
26,26,5,2,200,117.06283587975778
27,27,5,2,200,111.84294091234142
28,28,4,2,160,121.62304594492504
29,29,5,2,200,116.40315097750866
30,30,5,2,200,111.18325601009228
31,31,4,2,160,120.9633610426759
32,32,5,2,200,115.74346607525953
33,33,5,2,200,110.52357110784315
34,34,4,2,160,120.30367614042677
35,35,5,2,200,115.0837811730104
36,36,5,2,200,109.86388620559401
37,37,4,2,160,119.64399123817763
38,38,5,2,200,114.42409627076125
39,39,5,2,200,109.20420130334487
40,40,4,2,160,118.9843063359285
41,41,5,2,200,113.76441136851211
42,42,5,2,200,108.54451640109573
43,43,4,2,160,118.32462143367937
44,44,5,2,200,113.10472646626299
45,45,4,2,160,122.88483149884661
46,46,5,2,200,117.66493653143023
47,47,5,2,200,112.44504156401385
48,48,4,2,160,122.22514659659747
49,49,5,2,200,117.00525162918109
50,50,5,2,200,111.78535666176472
51,51,4,2,160,121.56546169434834
52,52,5,2,200,116.34556672693196
53,53,5,2,200,111.12567175951558
54,54,4,2,160,120.9057767920992
55,55,5,2,200,115.68588182468284
56,56,5,2,200,110.46598685726646
57,57,4,2,160,120.24609188985008
58,58,5,2,200,115.0261969224337
59,59,5,2,200,109.80630195501732
60,60,4,2,160,119.58640698760094
61,61,5,2,200,114.36651202018456
62,62,5,2,200,109.14661705276818
63,63,4,2,160,118.9267220853518
64,64,5,2,200,113.70682711793542
65,65,5,2,200,108.48693215051904
66,66,4,2,160,118.26703718310267
67,67,5,2,200,113.04714221568629
68,68,4,2,160,122.82724724826991
69,69,5,2,200,117.60735228085353
70,70,5,2,200,112.38745731343715
71,71,4,2,160,122.16756234602077
72,72,5,2,200,116.9476673786044
73,73,5,2,200,111.72777241118803
74,74,4,2,160,121.50787744377165
75,75,5,2,200,116.28798247635527
76,76,5,2,200,111.06808750893889
77,77,4,2,160,120.84819254152251
78,78,5,2,200,115.62829757410614
79,79,5,2,200,110.40840260668976
80,80,4,2,160,120.18850763927338
81,81,5,2,200,114.968612671857
82,82,5,2,200,109.74871770444062
83,83,4,2,160,119.52882273702424
84,84,5,2,200,114.30892776960786
85,85,5,2,200,109.08903280219148
86,86,4,2,160,118.8691378347751
87,87,5,2,200,113.64924286735872
88,88,5,2,200,108.42934789994234
89,89,4,2,160,118.20945293252598
90,90,5,2,200,112.9895579651096
91,91,4,2,160,122.76966299769322
92,92,5,2,200,117.54976803027684
93,93,5,2,200,112.32987306286046
94,94,4,2,160,122.10997809544408
95,95,5,2,200,116.8900831280277
96,96,5,2,200,111.67018816061133
97,97,4,2,160,121.45029319319495
98,98,5,2,200,116.23039822577857
99,99,5,2,200,111.01050325836219
