,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,80,140.92379020446594
1,1,4,0,160,151.84758040893186
2,2,6,0,240,162.7713706133978
3,3,8,0,320,143.69516081786372
4,4,9,1,360,113.61895102232967
5,5,7,2,280,113.5427412267956
6,6,7,2,280,109.46653143126153
7,7,6,3,240,124.39032163572746
8,8,7,2,280,116.31411184019339
9,9,7,2,280,112.23790204465932
10,10,7,2,280,108.16169224912525
11,11,6,2,240,119.08548245359118
12,12,7,2,280,115.00927265805711
13,13,7,2,280,110.93306286252304
14,14,6,2,240,121.85685306698898
15,15,7,2,280,117.7806432714549
16,16,7,2,280,113.70443347592084
17,17,7,2,280,109.62822368038677
18,18,6,2,240,120.5520138848527
19,19,7,2,280,116.47580408931863
20,20,7,2,280,112.39959429378456
21,21,7,2,280,108.32338449825049
22,22,6,2,240,119.24717470271642
23,23,7,2,280,115.17096490718235
24,24,7,2,280,111.09475511164828
25,25,6,2,240,122.01854531611421
26,26,7,2,280,117.94233552058014
27,27,7,2,280,113.86612572504607
28,28,7,2,280,109.789915929512
29,29,6,2,240,120.71370613397794
30,30,7,2,280,116.63749633844387
31,31,7,2,280,112.5612865429098
32,32,7,2,280,108.48507674737573
33,33,6,2,240,119.40886695184166
34,34,7,2,280,115.33265715630759
35,35,7,2,280,111.25644736077352
36,36,6,2,240,122.18023756523945
37,37,7,2,280,118.10402776970538
38,38,7,2,280,114.02781797417131
39,39,7,2,280,109.95160817863724
40,40,6,2,240,120.87539838310317
41,41,7,2,280,116.7991885875691
42,42,7,2,280,112.72297879203504
43,43,7,2,280,108.64676899650097
44,44,6,2,240,119.5705592009669
45,45,7,2,280,115.49434940543283
46,46,7,2,280,111.41813960989876
47,47,6,2,240,122.34192981436469
48,48,7,2,280,118.26572001883062
49,49,7,2,280,114.18951022329655
50,50,7,2,280,110.11330042776248
51,51,6,2,240,121.03709063222841
52,52,7,2,280,116.96088083669434
53,53,7,2,280,112.88467104116027
54,54,7,2,280,108.8084612456262
55,55,6,2,240,119.73225145009214
56,56,7,2,280,115.65604165455807
57,57,7,2,280,111.579831859024
58,58,6,2,240,122.50362206348993
59,59,7,2,280,118.42741226795586
60,60,7,2,280,114.35120247242179
61,61,7,2,280,110.27499267688772
62,62,6,2,240,121.19878288135365
63,63,7,2,280,117.12257308581958
64,64,7,2,280,113.04636329028551
65,65,7,2,280,108.97015349475144
66,66,6,2,240,119.89394369921737
67,67,7,2,280,115.8177339036833
68,68,7,2,280,111.74152410814924
69,69,6,2,240,122.66531431261517
70,70,7,2,280,118.5891045170811
71,71,7,2,280,114.51289472154703
72,72,7,2,280,110.43668492601296
73,73,6,2,240,121.36047513047889
74,74,7,2,280,117.28426533494482
75,75,7,2,280,113.20805553941075
76,76,7,2,280,109.13184574387668
77,77,6,2,240,120.05563594834261
78,78,7,2,280,115.97942615280854
79,79,7,2,280,111.90321635727447
80,80,6,2,240,122.8270065617404
81,81,7,2,280,118.75079676620634
82,82,7,2,280,114.67458697067227
83,83,7,2,280,110.5983771751382
84,84,6,2,240,121.52216737960413
85,85,7,2,280,117.44595758407006
86,86,7,2,280,113.36974778853599
87,87,7,2,280,109.29353799300192
88,88,6,2,240,120.21732819746785
89,89,7,2,280,116.14111840193378
90,90,7,2,280,112.06490860639971
91,91,6,2,240,122.98869881086564
92,92,7,2,280,118.91248901533157
93,93,7,2,280,114.8362792197975
94,94,7,2,280,110.76006942426343
95,95,6,2,240,121.68385962872937
96,96,7,2,280,117.6076498331953
97,97,7,2,280,113.53144003766123
98,98,7,2,280,109.45523024212716
99,99,6,2,240,120.37902044659309
