,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,2,0,80,140.0
1,1,4,0,160,150.0
2,2,6,0,240,160.0
3,3,8,0,320,140.0
4,4,9,1,360,109.0
5,5,7,2,280,108.0
6,6,6,3,240,122.0
7,7,7,2,280,113.0
8,8,7,2,280,108.0
9,9,6,2,240,118.0
10,10,7,2,280,113.0
11,11,7,2,280,108.0
12,12,6,2,240,118.0
13,13,7,2,280,113.0
14,14,7,2,280,108.0
15,15,6,2,240,118.0
16,16,7,2,280,113.0
17,17,7,2,280,108.0
18,18,6,2,240,118.0
19,19,7,2,280,113.0
20,20,7,2,280,108.0
21,21,6,2,240,118.0
22,22,7,2,280,113.0
23,23,7,2,280,108.0
24,24,6,2,240,118.0
25,25,7,2,280,113.0
26,26,7,2,280,108.0
27,27,6,2,240,118.0
28,28,7,2,280,113.0
29,29,7,2,280,108.0
30,30,6,2,240,118.0
31,31,7,2,280,113.0
32,32,7,2,280,108.0
33,33,6,2,240,118.0
34,34,7,2,280,113.0
35,35,7,2,280,108.0
36,36,6,2,240,118.0
37,37,7,2,280,113.0
38,38,7,2,280,108.0
39,39,6,2,240,118.0
40,40,7,2,280,113.0
41,41,7,2,280,108.0
42,42,6,2,240,118.0
43,43,7,2,280,113.0
44,44,7,2,280,108.0
45,45,6,2,240,118.0
46,46,7,2,280,113.0
47,47,7,2,280,108.0
48,48,6,2,240,118.0
49,49,7,2,280,113.0
50,50,7,2,280,108.0
51,51,6,2,240,118.0
52,52,7,2,280,113.0
53,53,7,2,280,108.0
54,54,6,2,240,118.0
55,55,7,2,280,113.0
56,56,7,2,280,108.0
57,57,6,2,240,118.0
58,58,7,2,280,113.0
59,59,7,2,280,108.0
60,60,6,2,240,118.0
61,61,7,2,280,113.0
62,62,7,2,280,108.0
63,63,6,2,240,118.0
64,64,7,2,280,113.0
65,65,7,2,280,108.0
66,66,6,2,240,118.0
67,67,7,2,280,113.0
68,68,7,2,280,108.0
69,69,6,2,240,118.0
70,70,7,2,280,113.0
71,71,7,2,280,108.0
72,72,6,2,240,118.0
73,73,7,2,280,113.0
74,74,7,2,280,108.0
75,75,6,2,240,118.0
76,76,7,2,280,113.0
77,77,7,2,280,108.0
78,78,6,2,240,118.0
79,79,7,2,280,113.0
80,80,7,2,280,108.0
81,81,6,2,240,118.0
82,82,7,2,280,113.0
83,83,7,2,280,108.0
84,84,6,2,240,118.0
85,85,7,2,280,113.0
86,86,7,2,280,108.0
87,87,6,2,240,118.0
88,88,7,2,280,113.0
89,89,7,2,280,108.0
90,90,6,2,240,118.0
91,91,7,2,280,113.0
92,92,7,2,280,108.0
93,93,6,2,240,118.0
94,94,7,2,280,113.0
95,95,7,2,280,108.0
96,96,6,2,240,118.0
97,97,7,2,280,113.0
98,98,7,2,280,108.0
99,99,6,2,240,118.0
